id, active, created, title, time, date, duration, shift, area, grade, skills, departmentId, managerId, confirmedApplicaitonId, offeredDate, status 
"59b6840babb93f00187ab891", false, "Mon Sep 11 2017 13:39:39 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-18" , 12 , "day" , "Theatre" , "5" , "" , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "59b7706fabb93f00187ab89f" , "2017-09-12" , "deal"
"59b6919c99ad870018545dc9", true, "Mon Sep 11 2017 14:37:32 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-23" , 12 , "night" , "Theatre" , "5" , "Burns 4 hrs bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b69252abb93f00187ab89a", true, "Mon Sep 11 2017 14:40:34 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-24" , 12 , "night" , "Theatre" , "5" , "Burns 4 hours bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b692fc99ad870018545dca", true, "Mon Sep 11 2017 14:43:24 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-24" , 12 , "day" , "Theatre" , "5" , "Burns 4 hours bank day " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b6a048abb93f00187ab89b", true, "Mon Sep 11 2017 15:40:08 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-26" , 12 , "night" , "Theatre" , "5" , "Burns 4 hours bank " , "5976725ceed0f5001301d84b" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b6a06aabb93f00187ab89c", true, "Mon Sep 11 2017 15:40:42 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-27" , 12 , "night" , "Theatre" , "5" , "Burns 4 hours bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b6a097abb93f00187ab89d", true, "Mon Sep 11 2017 15:41:27 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-30" , 12 , "day" , "Theatre" , "5" , "Burns 4 hours bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59b6a0b8abb93f00187ab89e", false, "Mon Sep 11 2017 15:42:00 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-30" , 12 , "night" , "Theatre" , "5" , "Burns 4 hours bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "59ca3284594d35001a0205f3" , "" , ""
"59b7a2faabb93f00187ab8a3", false, "Tue Sep 12 2017 10:03:54 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-16" , 6 , "halfNight" , "Theatre" , "5" , "" , "59a922b85cfd17d3aba0850d" , "59a702cf14154300192fd467" , "59b7d57f99ad870018545dd6" , "2017-09-12" , "deal"
"59b7a366abb93f00187ab8a4", true, "Tue Sep 12 2017 10:05:42 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-18" , 6 , "halfNight" , "Theatre" , "5" , "" , "5976725ceed0f5001301d84b" , "59a702cf14154300192fd467" , "" , "" , ""
"59b7b21699ad870018545dcf", false, "Tue Sep 12 2017 11:08:22 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-21" , 12 , "day" , "Theatre" , "6" , "This will be paid to your band" , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "59b7bb26abb93f00187ab8a8" , "2017-09-12" , "deal"
"59b7bfedabb93f00187ab8a9", true, "Tue Sep 12 2017 12:07:25 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-22" , 12 , "day" , "Theatre" , "5" , "Will be paid to band" , "5976725ceed0f5001301d84b" , "59a702cf14154300192fd467" , "" , "" , ""
"59b7c07099ad870018545dd3", false, "Tue Sep 12 2017 12:09:36 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-22" , 12 , "day" , "Theatre" , "6" , "" , "5976725ceed0f5001301d84b" , "59a702cf14154300192fd467" , "59b7c13b99ad870018545dd4" , "2017-09-12" , "deal"
"59b7e04a99ad870018545dd9", true, "Tue Sep 12 2017 14:25:30 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-16" , 12 , "day" , "Theatre" , "5" , "Will be paid to band " , "5976725ceed0f5001301d84b" , "59a702cf14154300192fd467" , "" , "" , ""
"59bf7639c7685a001991e373", true, "Mon Sep 18 2017 08:31:05 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-21" , 12 , "day" , "Theatre" , "6" , "Paid as usual via bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59bf7658594d35001a02059f", true, "Mon Sep 18 2017 08:31:36 GMT+0100 (BST)" , "Operating Department Practitioner" , "06:00" , "2017-09-22" , 12 , "day" , "Theatre" , "6" , "Paid as usual via bank " , "59a922b85cfd17d3aba0850d" , "59a6786ec9477a0017377dd2" , "" , "" , ""
"59bfe7d1594d35001a0205a2", true, "Mon Sep 18 2017 16:35:45 GMT+0100 (BST)" , "Operating Department Practitioner" , "18:00" , "2017-09-26" , 6 , "halfNight" , "Theatre" , "5" , "Paid to band" , "5976725ceed0f5001301d84b" , "59a702cf14154300192fd467" , "" , "" , ""
